rank,concept_id,name,concepticon_gloss,concepticon_id,n_tk,n_an,min_langs,core_pilot
1,eye,EYE,EYE,1248,73,969,73,1
2,ear,EAR,EAR,1247,73,968,73,1
3,fire,FIRE,FIRE,221,73,968,73,1
4,one,ONE,ONE,1493,73,965,73,1
5,nose,NOSE,NOSE,1221,73,964,73,1
6,tongue,TONGUE,TONGUE,1205,73,964,73,1
7,eat,EAT,EAT,1336,73,963,73,1
8,night,NIGHT,NIGHT,1233,73,963,73,1
9,blood,BLOOD,BLOOD,946,73,962,73,1
10,dog,DOG,DOG,2009,73,962,73,1
11,water,WATER,WATER,948,73,962,73,1
12,tooth,TOOTH,TOOTH,1380,73,961,73,1
13,star,STAR,STAR,1430,73,957,73,1
14,bird,BIRD,BIRD,937,73,956,73,1
15,fish,FISH,FISH,227,73,956,73,1
16,red,RED,RED,156,73,955,73,1
17,good,GOOD,GOOD,1035,73,953,73,1
18,black,BLACK,BLACK,163,73,952,73,1
19,mouth,MOUTH,MOUTH,674,73,949,73,1
20,big,BIG,BIG,1202,73,944,73,1
21,bone,BONE,BONE,1394,73,944,73,1
22,neck,NECK,NECK,1333,73,941,73,1
23,drink,DRINK,DRINK,1401,73,940,73,1
24,what,WHAT,WHAT,1236,73,938,73,1
25,skin,SKIN,SKIN,763,73,935,73,1
26,name,NAME,NAME,1405,73,933,73,1
27,who,WHO,WHO,1235,73,932,73,1
28,egg,EGG,EGG,744,73,931,73,1
29,earthsoil,EARTH (SOIL),EARTH (SOIL),1228,73,929,73,1
30,root,ROOT,ROOT,670,73,927,73,1
31,tail,TAIL,TAIL,1220,73,926,73,1
32,new,NEW,NEW,1231,73,924,73,1
33,liver,LIVER,LIVER,1224,73,919,73,1
34,come,COME,COME,1446,73,904,73,1
35,i,I,I,1209,73,904,73,1
36,thou,THOU,THOU,1215,73,863,73,1
37,long,LONG,LONG,1203,73,749,73,1
38,bite,BITE,BITE,1403,73,738,73,1
39,small,SMALL,SMALL,1246,73,576,73,1
40,give,GIVE,GIVE,1447,73,157,73,1
41,knee,KNEE,KNEE,1371,73,153,73,1
42,two,TWO,TWO,1498,72,964,72,1
43,white,WHITE,WHITE,1335,72,961,72,1
44,head,HEAD,HEAD,1256,72,956,72,1
45,moon,MOON,MOON,1313,72,956,72,1
46,sand,SAND,SAND,671,72,956,72,1
47,leaf,LEAF,LEAF,628,72,943,72,1
48,sleep,SLEEP,SLEEP,1585,72,942,72,1
49,cold,COLD,COLD,1287,72,936,72,1
50,flymovethroughair,FLY (MOVE THROUGH AIR),FLY (MOVE THROUGH AIR),1441,72,924,72,1
51,dry,DRY,DRY,1398,72,922,72,1
52,hand,HAND,HAND,1277,72,888,72,1
53,kill,KILL,KILL,1417,72,887,72,1
54,yellow,YELLOW,YELLOW,1424,72,869,72,1
55,person,PERSON,PERSON,683,72,699,72,1
56,sun,SUN,SUN,1343,72,176,72,1
57,heart,HEART,HEART,1223,72,156,72,1
58,tree,TREE,TREE,906,72,154,72,1
59,full,FULL,FULL,1429,72,149,72,1
60,many,MANY,MANY,1198,72,148,72,1
61,seed,SEED,SEED,714,72,147,72,1
62,hornanatomy,HORN (ANATOMY),HORN (ANATOMY),1393,73,71,71,1
63,all,ALL,ALL,98,71,339,71,1
64,swim,SWIM,SWIM,1439,70,927,70,1
65,cloud,CLOUD,CLOUD,1489,69,916,69,1
66,breast,BREAST,BREAST,1402,69,892,69,1
67,green,GREEN,GREEN,1425,69,812,69,1
68,foot,FOOT,FOOT,1301,72,68,68,1
69,walk,WALK,WALK,1443,68,866,68,1
70,knowsomething,KNOW (SOMETHING),KNOW (SOMETHING),1410,65,631,65,1
71,ash,ASH,ASH,646,64,936,64,1
72,rainprecipitation,RAIN (PRECIPITATION),RAIN (PRECIPITATION),658,64,887,64,1
73,go,GO,GO,695,64,154,64,1
74,bark,BARK,BARK,1204,63,151,63,1
75,meat,MEAT,MEAT,634,62,146,62,1
76,chest,CHEST,CHEST,1592,62,74,62,1
77,rope,ROPE,ROPE,1218,61,942,61,1
78,wind,WIND,WIND,960,61,940,61,1
79,laugh,LAUGH,LAUGH,1355,61,924,61,1
80,wing,WING,WING,1257,61,900,61,1
81,thick,THICK,THICK,1244,61,672,61,1
82,navel,NAVEL,NAVEL,1838,61,92,61,1
83,yesterday,YESTERDAY,YESTERDAY,1174,61,85,61,1
84,three,THREE,THREE,492,60,963,60,1
85,four,FOUR,FOUR,1500,60,960,60,1
86,vomit,VOMIT,VOMIT,1278,60,936,60,1
87,left,LEFT,LEFT,244,60,934,60,1
88,wet,WET,WET,1726,60,916,60,1
89,daynotnight,DAY (NOT NIGHT),DAY (NOT NIGHT),1225,60,915,60,1
90,right,RIGHT,RIGHT,1019,60,913,60,1
91,sky,SKY,SKY,1732,60,907,60,1
92,five,FIVE,FIVE,493,60,902,60,1
93,where,WHERE,WHERE,1237,60,895,60,1
94,heavy,HEAVY,HEAVY,1210,60,891,60,1
95,cry,CRY,CRY,1839,60,870,60,1
96,sharp,SHARP,SHARP,1396,60,869,60,1
97,near,NEAR,NEAR,1942,60,862,60,1
98,they,THEY,THEY,817,60,861,60,1
99,year,YEAR,YEAR,1226,60,859,60,1
100,you,YOU,YOU,1213,60,836,60,1
101,grass,GRASS,GRASS,606,60,812,60,1
102,flower,FLOWER,FLOWER,239,60,793,60,1
103,short,SHORT,SHORT,1645,60,677,60,1
104,salt,SALT,SALT,1274,60,549,60,1
105,seven,SEVEN,SEVEN,1704,60,500,60,1
106,six,SIX,SIX,1703,60,500,60,1
107,ten,TEN,TEN,1515,60,500,60,1
