rank,concept_id,name,concepticon_gloss,concepticon_id,n_tk,n_an,min_langs,core_pilot
1,eye,EYE,EYE,1248,73,969,73,1
2,ear,EAR,EAR,1247,73,968,73,1
3,fire,FIRE,FIRE,221,73,968,73,1
4,one,ONE,ONE,1493,73,965,73,1
5,nose,NOSE,NOSE,1221,73,964,73,1
6,tongue,TONGUE,TONGUE,1205,73,964,73,1
7,eat,EAT,EAT,1336,73,963,73,1
8,night,NIGHT,NIGHT,1233,73,963,73,1
9,blood,BLOOD,BLOOD,946,73,962,73,1
10,dog,DOG,DOG,2009,73,962,73,1
11,water,WATER,WATER,948,73,962,73,1
12,tooth,TOOTH,TOOTH,1380,73,961,73,1
13,star,STAR,STAR,1430,73,957,73,1
14,bird,BIRD,BIRD,937,73,956,73,1
15,fish,FISH,FISH,227,73,956,73,1
16,red,RED,RED,156,73,955,73,1
17,good,GOOD,GOOD,1035,73,953,73,1
18,black,BLACK,BLACK,163,73,952,73,1
19,mouth,MOUTH,MOUTH,674,73,949,73,1
20,big,BIG,BIG,1202,73,944,73,1
21,bone,BONE,BONE,1394,73,944,73,1
22,neck,NECK,NECK,1333,73,941,73,1
23,drink,DRINK,DRINK,1401,73,940,73,1
24,what,WHAT,WHAT,1236,73,938,73,1
25,skin,SKIN,SKIN,763,73,935,73,1
26,name,NAME,NAME,1405,73,933,73,1
27,who,WHO,WHO,1235,73,932,73,1
28,egg,EGG,EGG,744,73,931,73,1
29,earthsoil,EARTH (SOIL),EARTH (SOIL),1228,73,929,73,1
30,root,ROOT,ROOT,670,73,927,73,1
31,tail,TAIL,TAIL,1220,73,926,73,1
32,new,NEW,NEW,1231,73,924,73,1
33,liver,LIVER,LIVER,1224,73,919,73,1
34,come,COME,COME,1446,73,904,73,1
35,i,I,I,1209,73,904,73,1
36,thou,THOU,THOU,1215,73,863,73,1
37,long,LONG,LONG,1203,73,749,73,1
38,bite,BITE,BITE,1403,73,738,73,1
39,small,SMALL,SMALL,1246,73,576,73,1
40,two,TWO,TWO,1498,72,964,72,1
41,white,WHITE,WHITE,1335,72,961,72,1
42,head,HEAD,HEAD,1256,72,956,72,1
43,moon,MOON,MOON,1313,72,956,72,1
44,sand,SAND,SAND,671,72,956,72,1
45,leaf,LEAF,LEAF,628,72,943,72,1
46,sleep,SLEEP,SLEEP,1585,72,942,72,1
47,cold,COLD,COLD,1287,72,936,72,1
48,flymovethroughair,FLY (MOVE THROUGH AIR),FLY (MOVE THROUGH AIR),1441,72,924,72,1
49,dry,DRY,DRY,1398,72,922,72,1
50,hand,HAND,HAND,1277,72,888,72,1
51,kill,KILL,KILL,1417,72,887,72,1
52,yellow,YELLOW,YELLOW,1424,72,869,72,1
53,person,PERSON,PERSON,683,72,699,72,1
54,all,ALL,ALL,98,71,339,71,1
55,swim,SWIM,SWIM,1439,70,927,70,1
56,cloud,CLOUD,CLOUD,1489,69,916,69,1
57,breast,BREAST,BREAST,1402,69,892,69,1
58,green,GREEN,GREEN,1425,69,812,69,1
59,walk,WALK,WALK,1443,68,866,68,1
60,knowsomething,KNOW (SOMETHING),KNOW (SOMETHING),1410,65,631,65,1
61,ash,ASH,ASH,646,64,936,64,1
62,rainprecipitation,RAIN (PRECIPITATION),RAIN (PRECIPITATION),658,64,887,64,1
63,rope,ROPE,ROPE,1218,61,942,61,1
64,wind,WIND,WIND,960,61,940,61,1
65,laugh,LAUGH,LAUGH,1355,61,924,61,1
66,wing,WING,WING,1257,61,900,61,1
67,thick,THICK,THICK,1244,61,672,61,1
68,three,THREE,THREE,492,60,963,60,1
69,four,FOUR,FOUR,1500,60,960,60,1
70,vomit,VOMIT,VOMIT,1278,60,936,60,1
71,left,LEFT,LEFT,244,60,934,60,1
72,wet,WET,WET,1726,60,916,60,1
73,daynotnight,DAY (NOT NIGHT),DAY (NOT NIGHT),1225,60,915,60,1
74,right,RIGHT,RIGHT,1019,60,913,60,1
75,sky,SKY,SKY,1732,60,907,60,1
76,five,FIVE,FIVE,493,60,902,60,1
77,where,WHERE,WHERE,1237,60,895,60,1
78,heavy,HEAVY,HEAVY,1210,60,891,60,1
79,cry,CRY,CRY,1839,60,870,60,1
80,sharp,SHARP,SHARP,1396,60,869,60,1
81,near,NEAR,NEAR,1942,60,862,60,1
82,they,THEY,THEY,817,60,861,60,1
83,year,YEAR,YEAR,1226,60,859,60,1
84,you,YOU,YOU,1213,60,836,60,1
85,grass,GRASS,GRASS,606,60,812,60,1
86,flower,FLOWER,FLOWER,239,60,793,60,1
87,short,SHORT,SHORT,1645,60,677,60,1
88,salt,SALT,SALT,1274,60,549,60,1
89,seven,SEVEN,SEVEN,1704,60,500,60,1
90,six,SIX,SIX,1703,60,500,60,1
91,ten,TEN,TEN,1515,60,500,60,1
92,eight,EIGHT,EIGHT,1705,60,497,60,1
93,nine,NINE,NINE,1483,60,492,60,1
94,narrow,NARROW,NARROW,1267,60,323,60,1
95,snake,SNAKE,SNAKE,730,59,890,59,1
96,forest,FOREST,FOREST,420,59,772,59,1
97,wife,WIFE,WIFE,1199,59,766,59,1
98,husband,HUSBAND,HUSBAND,1200,59,754,59,1
99,intestines,INTESTINES,INTESTINES,1991,59,751,59,1
100,steal,STEAL,STEAL,713,59,745,59,1
101,shoulder,SHOULDER,SHOULDER,1482,59,739,59,1
102,buy,BUY,BUY,1869,59,608,59,1
103,open,OPEN,OPEN,1156,59,583,59,1
104,fog,FOG,FOG,249,59,567,59,1
105,choose,CHOOSE,CHOOSE,1750,59,424,59,1
106,hundred,HUNDRED,HUNDRED,1634,59,410,59,1
