language_id,name,glottocode,clade,glottolog_path,n_forms
abvdoceanic-Banoni_4,Banoni,bann1247,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/piva1237/bann1247,233
abvdoceanic-Gedaged_7,Gedaged,geda1237,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/belr1234/bell1262/nucl1510/geda1237,254
abvdoceanic-Giman_10,Gimán,gane1237,shwng,aust1307/mala1545/east2712/sout3229/raja1255/sout3231/east2439/gane1237,221
abvdoceanic-Canala_19,Canala,xara1244,oceanic,aust1307/mala1545/east2712/ocea1241/sout3173/newc1243/main1286/sout3313/mids1246/xara1244,205
abvdoceanic-KilokakaYsabel_21,Kilokaka (Ysabel),zaza1245,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/sant1458/cent2063/zaza1247/zaza1245,179
abvdoceanic-Kis_23,Kis,kiss1246,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/scho1242/kair1261/mana1294/kisw1234/kiss1246,114
abvdoceanic-Mor_24,Mor,morm1235,shwng,aust1307/mala1545/east2712/sout3229/morm1235,175
abvdoceanic-Mota_25,Mota,mota1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/torr1262/mota1237,238
abvdoceanic-Motu_26,Motu,motu1246,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/papu1253/cent2070/west2850/motu1249/motu1246,199
abvdoceanic-Kairiru_30,Kairiru,kair1263,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/scho1242/kair1261/kair1262/kair1263,236
abvdoceanic-Bughotu_37,Bughotu,bugh1239,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/guad1241/nucl1470/ngge1240/bugh1239,248
abvdoceanic-Marquesan_38,Marquesan,nort2845,oceanic,aust1307/mala1545/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485/nort3246/solo1260/cent2298/east2449/east2895/marq1246/nort2845,348
abvdoceanic-Ali_39,Ali,kapp1237,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/scho1242/siau1243/siss1244/alit1234/kapp1237,164
abvdoceanic-AmbaiYapen_40,Ambai (Yapen),amba1265,shwng,aust1307/mala1545/east2712/sout3229/cend1238/yape1249/cent2277/ansu1238/amba1265,184
abvdoceanic-BigaMisool_46,Biga (Misool),matb1237,shwng,aust1307/mala1545/east2712/sout3229/raja1255/maya1288/matb1237,176
abvdoceanic-Buli_49,Buli,buli1255,shwng,aust1307/mala1545/east2712/sout3229/raja1255/sout3231/gebe1238/cent2270/buli1255,206
abvdoceanic-Hawaiian_52,Hawaiian,hawa1245,oceanic,aust1307/mala1545/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485/nort3246/solo1260/cent2298/east2449/east2896/hawa1245,217
abvdoceanic-Hoava_54,Hoava,hoav1238,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/east2761/rovi1239/hoav1239/hoav1238,176
abvdoceanic-KaulongAuVillage_56,Kaulong (Au Village),kaul1240,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/pasi1254/kaul1240,206
abvdoceanic-KayupulauKajupulau_57,Kayupulau [Kajupulau],kayu1243,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/sarm1241/jaya1243/east2911/kayu1243,190
abvdoceanic-Rarotongan_58,Rarotongan,raro1241,oceanic,aust1307/mala1545/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485/nort3246/solo1260/cent2298/east2449/east2896/sout3383/raro1241,309
abvdoceanic-Nukuoro_64,Nukuoro,nuku1260,oceanic,aust1307/mala1545/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485/nort3246/nort3235/nuku1260,199
abvdoceanic-Kusaie_65,Kusaie,kosr1238,oceanic,aust1307/mala1545/east2712/ocea1241/micr1243/kosr1239/kosr1238,372
abvdoceanic-Kwaio_66,Kwaio,kwai1243,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/nort2833/kwai1243,192
abvdoceanic-LamogaiMulakaino_67,Lamogai (Mulakaino),lamo1244,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/bibl1237/lamo1244,209
