language_id,name,glottocode,clade,glottolog_path,n_forms
castrosui-ShuigenCentralSandong,Sandong,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,606
castrosui-ZhongheCentralSandong,Zhonghe,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,588
castrosui-TangzhouWesternSandong,Tangzhou,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,586
castrosui-TingpaiWesternSandong,Tingpai,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,591
castrosui-AntangWesternSandong,Antang,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,592
castrosui-DujiangEasternSandong,Dujiang,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,591
castrosui-SanjiangEasternSandong,Sanjiang,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,592
castrosui-RenliEasternSandong,Renli,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,590
castrosui-JiuqianSouthernSandong,Jiuqian,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,604
castrosui-ShuiyaoSouthernSandong,Shuiyao,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,590
castrosui-JiarongSouthernSandong,Jiarong,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,583
castrosui-ShuiweiSouthernSandong,Shuiwei,sand1270,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/sand1270,595
castrosui-Pandong,Pandong,pand1262,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/pand1262,588
castrosui-JiaoliPandong,Jiaoli,pand1262,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/pand1262,586
castrosui-TangnianYangAn,Tangnian,anya1244,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/anya1244,594
castrosui-BanliangYangAn,Banliang,anya1244,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243/anya1244,583
castrozhuang-LuzhaiSipai,Luzhai Sipai,liuq1235,tai,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189/hong1247/liuq1235,531
castrozhuang-LuzhaiLuzhai,Luzhai Luzhai,liuq1235,tai,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189/hong1247/liuq1235,543
castrozhuang-XiangzhouDale,Xiangzhou Dale,liuq1235,tai,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189/hong1247/liuq1235,522
castrozhuang-XiangzhouYunjiang,Xiangzhou Yunjiang,liuq1235,tai,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189/hong1247/liuq1235,531
castrozhuang-WuxuanTongling,Wuxuan Tongling,east2363,tai,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189/hong1247/west3011/east2363,526
castrozhuang-WuxuanHuangmao,Wuxuan Huangmao,liuq1235,tai,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189/hong1247/liuq1235,533
castrozhuang-GuipingShilong,Guiping Shilong,east2363,tai,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189/hong1247/west3011/east2363,519
castrozhuang-GangbeiZhongli,Gangbei Zhongli,east2363,tai,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189/hong1247/west3011/east2363,522
castrozhuang-XingbinSishan,Xingbin Sishan,east2363,tai,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189/hong1247/west3011/east2363,525
castrozhuang-XingbinQianjiang,Xingbin Qianjiang,east2363,tai,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189/hong1247/west3011/east2363,519
castrozhuang-ShanglinTanghong,Shanglin Tanghong,east2363,tai,taik1256/kamt1241/daic1238/daic1237/nort3326/nort3180/nort3189/hong1247/west3011/east2363,538
