concept_id,name,n_tk_forms,n_an_forms,tk_mean_len,an_mean_len,abs_delta_mean_len,an_length_band,sca,ned,sca_hit,ned_hit
eye,EYE,25,80,4.64,5.175,0.5350000000000001,5,0.4228348998729566,0.5533333333333333,0,0
ear,EAR,35,80,4.6,6.6625,2.0625,7,0.4828287073877521,0.6666780045351474,0,0
fire,FIRE,21,80,3.3333333333333335,4.825,1.4916666666666667,5,0.3870096660982246,0.5502267573696145,1,0
one,ONE,29,80,3.9310344827586206,4.7,0.7689655172413796,5,0.3826036356805588,0.6977011494252874,1,0
nose,NOSE,34,80,4.852941176470588,5.6875,0.8345588235294121,6,0.3006629185267131,0.5714519140989729,1,0
tongue,TONGUE,19,80,4.0,5.25,1.25,5,0.33109899996539677,0.5488304093567251,1,0
eat,EAT,32,80,3.5,5.0125,1.5125000000000002,5,0.23521634615384615,0.47239583333333335,1,0
night,NIGHT,38,80,5.842105263157895,5.725,0.11710526315789505,6,0.41212355756325497,0.6502715121136173,0,0
blood,BLOOD,31,80,4.161290322580645,5.0,0.838709677419355,5,0.4201248588418345,0.6604966717869943,0,0
dog,DOG,18,80,3.611111111111111,4.6375,1.026388888888889,5,0.3633929460852538,0.5637566137566138,1,0
water,WATER,24,80,3.5833333333333335,4.625,1.0416666666666665,5,0.30578497001573923,0.49027777777777776,1,0
tooth,TOOTH,40,80,4.1,4.9375,0.8375000000000004,5,0.4374230207489317,0.638720238095238,0,0
star,STAR,36,80,6.222222222222222,6.1375,0.08472222222222214,6,0.44727419095066157,0.6417107583774251,0,0
bird,BIRD,33,80,3.6363636363636362,5.7375,2.1011363636363636,6,0.4059644712205387,0.5984848484848485,0,0
fish,FISH,25,80,3.92,4.925,1.005,5,0.37052876354414815,0.5668571428571428,1,0
red,RED,35,80,4.4,6.1625,1.7624999999999993,6,0.39008897805604503,0.6656462585034013,1,0
good,GOOD,33,80,3.5454545454545454,5.4625,1.917045454545455,5,0.3049055826328554,0.6212602212602213,1,0
black,BLACK,30,80,4.066666666666666,6.2375,2.1708333333333334,6,0.32501354407546357,0.5939285714285714,1,0
mouth,MOUTH,27,80,4.148148148148148,5.125,0.9768518518518521,5,0.39603956193587325,0.5852292768959435,1,0
big,BIG,31,80,3.5161290322580645,5.4375,1.9213709677419355,5,0.31546556834398026,0.5942396313364056,1,0
bone,BONE,40,80,4.475,5.3875,0.9125000000000005,5,0.31876335559138014,0.6388690476190476,1,0
neck,NECK,27,80,4.333333333333333,5.55,1.2166666666666668,6,0.38242505543913285,0.6108024691358025,1,0
drink,DRINK,40,80,3.55,4.95,1.4000000000000004,5,0.32515193140193144,0.6386904761904761,1,0
what,WHAT,40,80,5.15,4.925,0.22500000000000053,5,0.31645398361065785,0.5763095238095238,1,0
skin,SKIN,23,80,3.8260869565217392,5.5375,1.7114130434782604,6,0.27918359975216167,0.6086611456176674,1,0
name,NAME,38,80,5.2105263157894735,5.4,0.1894736842105269,5,0.4106256201129981,0.6780701754385965,0,0
who,WHO,40,80,5.15,5.0125,0.13750000000000018,5,0.3472581309464794,0.6095616883116883,1,0
egg,EGG,40,80,3.75,5.9125,2.1624999999999996,6,0.5147144586183048,0.6695634920634921,0,0
earthsoil,EARTH (SOIL),31,80,3.870967741935484,4.9375,1.066532258064516,5,0.3774517459380983,0.6144777265745007,1,0
root,ROOT,37,80,3.972972972972973,5.35,1.3770270270270268,5,0.36830771889476344,0.5898970398970399,1,0
tail,TAIL,40,80,4.3,5.45,1.1500000000000004,5,0.3969005153971218,0.6904166666666667,1,0
new,NEW,21,80,3.7142857142857144,5.5875,1.873214285714286,6,0.3557955963450469,0.5595238095238095,1,0
liver,LIVER,19,80,3.473684210526316,5.5875,2.1138157894736844,6,0.40456249104022385,0.6182957393483709,0,0
come,COME,20,80,3.55,5.075,1.5250000000000004,5,0.264906550714243,0.5933333333333334,1,0
i,I,30,80,3.6333333333333333,4.1125,0.4791666666666665,le4,0.26857177011023164,0.5155555555555555,1,0
thou,THOU,24,80,3.4166666666666665,4.0,0.5833333333333335,le4,0.30615231990231995,0.6569444444444444,1,0
long,LONG,35,80,3.6285714285714286,5.9625,2.333928571428572,6,0.4551957566243281,0.6382653061224489,0,0
bite,BITE,32,80,3.53125,5.9375,2.40625,6,0.3045258801028032,0.5418154761904762,1,0
small,SMALL,35,80,3.2857142857142856,6.0125,2.7267857142857146,6,0.45149439571417593,0.6430612244897959,0,0
two,TWO,30,80,3.8,4.675,0.875,5,0.31852892833662066,0.6685714285714286,1,0
white,WHITE,25,80,4.76,5.875,1.1150000000000002,6,0.3816163597086674,0.6191111111111111,1,0
head,HEAD,27,80,3.888888888888889,5.1875,1.2986111111111112,5,0.22541902541902542,0.5657848324514991,1,0
moon,MOON,40,80,6.45,5.25,1.2000000000000002,5,0.4128247049445407,0.6541756854256854,0,0
sand,SAND,27,80,4.037037037037037,6.125,2.087962962962963,6,0.45596914886130574,0.6643885949441505,0,0
leaf,LEAF,29,80,4.827586206896552,5.3125,0.4849137931034484,5,0.3728097764304661,0.6556339254615117,1,0
sleep,SLEEP,30,80,4.066666666666666,5.6,1.5333333333333332,6,0.16946366454058764,0.48595238095238097,1,0
cold,COLD,38,80,3.9210526315789473,6.3875,2.466447368421053,6,0.414168625606938,0.6408208020050125,0,0
flymovethroughair,FLY (MOVE THROUGH AIR),32,80,3.9375,6.025,2.0875000000000004,6,0.37540489919106856,0.6627852182539682,1,0
dry,DRY,33,80,3.9393939393939394,5.9625,2.023106060606061,6,0.4646572751754722,0.6375541125541125,0,0
hand,HAND,26,80,3.3076923076923075,5.2125,1.9048076923076929,5,0.3872180482239654,0.6506410256410257,1,0
kill,KILL,13,80,3.6923076923076925,6.35,2.657692307692307,6,0.38622349310608417,0.651953601953602,1,0
yellow,YELLOW,32,80,4.75,6.325,1.5750000000000002,6,0.3348008226310352,0.6341145833333334,1,0
person,PERSON,38,80,3.6315789473684212,5.45,1.818421052631579,5,0.41384354353275526,0.6580513784461153,0,0
all,ALL,40,80,4.975,6.1375,1.1625000000000005,6,0.44481836479059034,0.6236706349206349,0,0
swim,SWIM,40,80,5.825,5.725,0.10000000000000053,6,0.44918493736042037,0.6523511904761905,0,0
cloud,CLOUD,28,80,4.535714285714286,5.9875,1.4517857142857142,6,0.4195016933888804,0.628188775510204,0,0
breast,BREAST,23,80,3.8260869565217392,4.875,1.0489130434782608,5,0.3574782946522077,0.5890269151138716,1,0
green,GREEN,32,80,4.5625,6.975,2.4124999999999996,7,0.47072269312512527,0.6257068452380953,0,0
walk,WALK,33,80,5.2727272727272725,6.3125,1.0397727272727275,6,0.2882238778127987,0.6290644540644541,1,0
knowsomething,KNOW (SOMETHING),24,80,3.9583333333333335,5.8625,1.9041666666666663,6,0.4012355733339896,0.541765873015873,0,0
ash,ASH,33,80,4.666666666666667,5.4125,0.7458333333333327,5,0.33462877578262196,0.6004329004329004,1,0
rainprecipitation,RAIN (PRECIPITATION),37,80,3.7027027027027026,5.0,1.2972972972972974,5,0.26366850873638203,0.6066066066066066,1,0
rope,ROPE,31,80,4.741935483870968,4.925,0.18306451612903185,5,0.3430553937377758,0.6129160266257041,1,0
wind,WIND,29,80,3.3448275862068964,5.15,1.805172413793104,5,0.39957633878058285,0.6211822660098522,1,0
laugh,LAUGH,32,80,4.625,5.8625,1.2374999999999998,6,0.4862804943453982,0.6886904761904762,0,0
wing,WING,21,80,4.190476190476191,5.7625,1.5720238095238095,6,0.16633377611399588,0.6077097505668935,1,0
thick,THICK,9,80,3.5555555555555554,6.9375,3.3819444444444446,7,0.5499255730024961,0.5925925925925926,0,0
three,THREE,20,80,4.4,4.55,0.14999999999999947,5,0.46999057352903506,0.7166666666666667,0,0
four,FOUR,15,80,3.2666666666666666,4.725,1.458333333333333,5,0.4112883868268484,0.6355555555555555,0,0
vomit,VOMIT,36,80,4.083333333333333,5.625,1.541666666666667,6,0.33890359877539367,0.6485890652557319,1,0
left,LEFT,33,80,5.393939393939394,5.9125,0.518560606060606,6,0.29017185033227816,0.6317580567580567,1,0
wet,WET,33,80,3.4545454545454546,6.275,2.8204545454545458,6,0.307762522377907,0.6525252525252525,1,0
daynotnight,DAY (NOT NIGHT),39,80,6.923076923076923,5.5,1.4230769230769234,6,0.3915803953633474,0.6145835645835646,1,0
right,RIGHT,20,80,5.95,6.2375,0.28749999999999964,6,0.43802137422709503,0.5953968253968254,0,0
sky,SKY,37,80,4.918918918918919,6.1,1.1810810810810803,6,0.36220070593492837,0.6727233727233727,1,0
